source_sku,replacement_sku,replacement_type,match_confidence,reason,available_to_purchase_date,active
EP2-33224,EP2-47589,current_gen_comparable,high,"Approved replacement for Surface Laptop 7 13.8 Intel U5/16/256 Black",2026-05-19,true
EP2-33242,EP2-47614,current_gen_comparable,high,"Approved replacement for Surface Laptop 7 13.8 Intel U5/16/256 Platinum",2026-05-19,true
EP2-33228,EP2-47640,current_gen_comparable,high,"Approved replacement for Surface Laptop 7 13.8 Intel U5/16/512 Black",2026-05-19,true
EP2-33246,EP2-47665,current_gen_comparable,high,"Approved replacement for Surface Laptop 7 13.8 Intel U5/16/512 Platinum",2026-05-19,true
EP2-33233,EP2-50779,current_gen_comparable,high,"Approved replacement for Surface Laptop 7 15 Intel U5/16/256 Black",2026-05-19,true
EP2-33251,EP2-50804,current_gen_comparable,high,"Approved replacement for Surface Laptop 7 15 Intel U5/16/256 Platinum",2026-05-19,true
EP2-33229,EP2-47990,current_gen_comparable,medium,"Approved closest current-gen option for Surface Laptop 7 13.8 Intel U7/16/512 Black",2026-05-19,true
EP2-33247,EP2-48015,current_gen_comparable,medium,"Approved closest current-gen option for Surface Laptop 7 13.8 Intel U7/16/512 Platinum",2026-05-19,true
EP2-33234,EP2-51079,current_gen_comparable,medium,"Approved closest current-gen option for Surface Laptop 7 15 Intel U7/16/256 Black",2026-05-19,true
EP2-33252,EP2-51104,current_gen_comparable,medium,"Approved closest current-gen option for Surface Laptop 7 15 Intel U7/16/256 Platinum",2026-05-19,true
